% The problem is to learn a regression equation/rule/tree to predict the
% activity from the descriptive structural attributes.  The data and
% methodology is described in detail in: - King, Ross .D., Hurst,
% Jonathan. D., and Sternberg, Michael.J.E. A comparison of artificial
% intelligence methods for modelling QSARs Applied Artificial
% Intelligence, 1994 (in press).  - Hurst, Jonathan. D., King, Ross
% .D. and Sternberg, Michael.J.E. Quantitative Structure-Activity
% Relationships by neural networks and inductive logic programming:
% 2. The inhibition of dihydrofolate reductase by triazines. Journal of
% Computer Aided Molecular Design, 1994 (in press).
% 
% Original source: ?. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 186 cases; 61 continuous variables 

@relation triazines

@attribute p1_polar numeric
@attribute p1_size numeric
@attribute p1_flex numeric
@attribute p1_h_doner numeric
@attribute p1_h_acceptor numeric
@attribute p1_pi_doner numeric
@attribute p1_pi_acceptor numeric
@attribute p1_polarisable numeric
@attribute p1_sigma numeric
@attribute p1_branch numeric
@attribute p2_polar numeric
@attribute p2_size numeric
@attribute p2_flex numeric
@attribute p2_h_doner numeric
@attribute p2_h_acceptor numeric
@attribute p2_pi_doner numeric
@attribute p2_pi_acceptor numeric
@attribute p2_polarisable numeric
@attribute p2_sigma numeric
@attribute p2_branch numeric
@attribute p3_polar numeric
@attribute p3_size numeric
@attribute p3_flex numeric
@attribute p3_h_doner numeric
@attribute p3_h_acceptor numeric
@attribute p3_pi_doner numeric
@attribute p3_pi_acceptor numeric
@attribute p3_polarisable numeric
@attribute p3_sigma numeric
@attribute p3_branch numeric
@attribute p4_polar numeric
@attribute p4_size numeric
@attribute p4_flex numeric
@attribute p4_h_doner numeric
@attribute p4_h_acceptor numeric
@attribute p4_pi_doner numeric
@attribute p4_pi_acceptor numeric
@attribute p4_polarisable numeric
@attribute p4_sigma numeric
@attribute p4_branch numeric
@attribute p5_polar numeric
@attribute p5_size numeric
@attribute p5_flex numeric
@attribute p5_h_doner numeric
@attribute p5_h_acceptor numeric
@attribute p5_pi_doner numeric
@attribute p5_pi_acceptor numeric
@attribute p5_polarisable numeric
@attribute p5_sigma numeric
@attribute p5_branch numeric
@attribute p6_polar numeric
@attribute p6_size numeric
@attribute p6_flex numeric
@attribute p6_h_doner numeric
@attribute p6_h_acceptor numeric
@attribute p6_pi_doner numeric
@attribute p6_pi_acceptor numeric
@attribute p6_polarisable numeric
@attribute p6_sigma numeric
@attribute p6_branch numeric
@attribute activity numeric

@data
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.329, 0.500, 0.633, 0.500, 0.100, 0.500, 0.367, 0.300, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.730
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.700, 0.329, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.700, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.608
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.700, 0.214, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.900, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.616
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.500, 0.557, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.100, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.817
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.700, 0.214, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.900, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.631
0.420, 0.767, 0.367, 0.100, 0.900, 0.500, 0.100, 0.100, 0.367, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.135
0.420, 0.633, 0.233, 0.900, 0.633, 0.500, 0.100, 0.500, 0.367, 0.500, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.689
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.500, 0.214, 0.100, 0.633, 0.500, 0.100, 0.100, 0.367, 0.300, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.427
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.329, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.300, 0.300, 0.260, 0.000, 0.000, 0.100, 0.100, 0.100, 0.500, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.765
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.600, 0.329, 0.100, 0.900, 0.500, 0.100, 0.100, 0.367, 0.500, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.757
0.420, 0.633, 0.233, 0.100, 0.633, 0.500, 0.100, 0.100, 0.367, 0.500, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.258
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.214, 0.100, 0.367, 0.900, 0.100, 0.500, 0.367, 0.500, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.581
0.420, 0.367, 0.100, 0.500, 0.367, 0.900, 0.100, 0.500, 0.367, 0.900, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.633, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.365
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.100, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.300, 0.900, 0.420, 0.000, 0.000, 0.100, 0.100, 0.500, 0.900, 0.633, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.351
0.260, 0.633, 0.633, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.100, 0.740, 0.633, 0.100, 0.100, 0.100, 0.100, 0.500, 0.900, 0.633, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.809
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.600, 0.443, 0.100, 0.367, 0.100, 0.100, 0.500, 0.100, 0.500, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.643
0.420, 0.633, 0.233, 0.900, 0.633, 0.500, 0.100, 0.500, 0.367, 0.500, 0.900, 0.633, 0.100, 0.100, 0.100, 0.100, 0.900, 0.100, 0.900, 0.500, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.809
0.260, 0.767, 0.767, 0.100, 0.367, 0.100, 0.100, 0.500, 0.100, 0.500, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.602
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.700, 0.329, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.700, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.320
0.580, 0.233, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.738
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.500, 0.329, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.500, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.695
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.500, 0.443, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.300, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.662
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.214, 0.500, 0.367, 0.500, 0.100, 0.500, 0.367, 0.300, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.726
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.300, 0.329, 0.100, 0.367, 0.100, 0.100, 0.500, 0.100, 0.100, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.689
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.800, 0.214, 0.500, 0.633, 0.500, 0.100, 0.500, 0.367, 0.900, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.469
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.557, 0.100, 0.633, 0.500, 0.100, 0.500, 0.367, 0.100, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.595
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.600, 0.557, 0.500, 0.633, 0.500, 0.100, 0.500, 0.367, 0.300, 0.900, 0.420, 0.000, 0.000, 0.100, 0.100, 0.500, 0.900, 0.633, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.616
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.300, 0.329, 0.100, 0.367, 0.100, 0.100, 0.500, 0.100, 0.100, 0.700, 0.740, 0.000, 0.000, 0.500, 0.100, 0.500, 0.500, 0.100, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.817
0.580, 0.367, 0.233, 0.100, 0.367, 0.100, 0.500, 0.500, 0.100, 0.500, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.417
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.500, 0.557, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.100, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.772
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.500, 0.329, 0.100, 0.633, 0.900, 0.100, 0.500, 0.367, 0.500, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.678
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.300, 0.329, 0.100, 0.367, 0.100, 0.100, 0.500, 0.100, 0.100, 0.700, 0.580, 0.000, 0.000, 0.500, 0.100, 0.500, 0.500, 0.100, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.730
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.329, 0.500, 0.633, 0.500, 0.100, 0.500, 0.367, 0.300, 0.900, 0.420, 0.000, 0.000, 0.100, 0.100, 0.500, 0.900, 0.633, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.730
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.600, 0.557, 0.500, 0.633, 0.500, 0.100, 0.500, 0.367, 0.300, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.612
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.300, 0.300, 0.329, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.100, 0.700, 0.260, 0.000, 0.000, 0.100, 0.900, 0.100, 0.500, 0.900, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.757
0.260, 0.367, 0.367, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.633, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.900, 0.700, 0.200, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.336
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.900, 0.633, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.329, 0.500, 0.633, 0.500, 0.100, 0.500, 0.367, 0.300, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.817
0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.329, 0.500, 0.633, 0.500, 0.100, 0.500, 0.367, 0.300, 0.900, 0.420, 0.000, 0.000, 0.100, 0.100, 0.500, 0.900, 0.633, 0.900, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.788
0.580, 0.233, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.900, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.400, 0.443, 0.100, 0.633, 0.500, 0.100, 0.500, 0.367, 0.100, 0.300, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.500, 0.100, 0.100, 0.100, 0.100, 0.900, 0.900, 0.633, 0.633, 0.672
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.600, 0.329, 0.100, 0.633, 0.500, 0.100, 0.100, 0.367, 0.500, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.523
0.420, 0.233, 0.100, 0.100, 0.367, 0.500, 0.100, 0.900, 0.367, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.900, 0.900, 0.900, 0.900, 0.900, 0.100, 0.500, 0.367, 0.500, 0.300, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.000, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.772
