% The Computer Activity databases are a collection of computer systems
% activity measures. The data was collected from a Sun Sparcstation
% 20/712 with 128 Mbytes of memory running in a multi-user university
% department. Users would typically be doing a large variety of tasks
% ranging from accessing the internet, editing files or running very
% cpu-bound programs.  The data was collected continuously on two
% separate occasions. On both occassions, system activity was gathered
% every 5 seconds. The final dataset is taken from both occasions with
% equal numbers of observations coming from each collection epoch.
% 
% System measures used:
% 1. lread - Reads (transfers per second ) between system memory and user memory.
% 2. lwrite - writes (transfers per second) between system memory and user memory.
% 3. scall - Number of system calls of all types per second.
% 4. sread - Number of system read calls per second.
% 5. swrite - Number of system write calls per second . 
% 6. fork - Number of system fork calls per second. 
% 7. exec - Number of system exec calls per second. 
% 8. rchar - Number of characters transferred per second by system read calls.
% 9. wchar - Number of characters transfreed per second by system write calls. 
% 10. pgout - Number of page out requests per second.
% 11. ppgout - Number of pages, paged out per second. 
% 12. pgfree - Number of pages per second placed on the free list. 
% 13. pgscan - Number of pages checked if they can be freed per second.
% 14. atch - Number of page attaches (satisfying a page fault by reclaiming a page in memory) per second.
% 15. pgin - Number of page-in requests per second.
% 16. ppgin - Number of pages paged in per second.
% 17. pflt - Number of page faults caused by protection errors (copy-on-writes). 
% 18. vflt - Number of page faults caused by address translation. 
% 19. runqsz - Process run queue size.
% 20. freemem - Number of memory pages available to user processes.
% 21. freeswap - Number of disk blocks available for page swapping. 
% 22. usr - Portion of time (%) that cpus run in user mode.
% 23. sys - Portion of time (%) that cpus run in system mode.
% 24. wio - Portion of time (%) that cpus are idle waiting for block IO.
% 25. idle - Portion of time (%) that cpus are otherwise idle.
% 
% The two different regression tasks obtained from these databases are:
% 
% CompAct 
% Predict usr, the portion of time that cpus run in user mode from all attributes 1-21.
% 
% CompAct(s) 
% Predict usr using a restricted number (excluding the paging information (10-18)
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: DELVE repository of data. 
% Characteristics: 8192 cases, 22 continuous attributes

@relation cpu_act

@attribute lread numeric
@attribute lwrite numeric
@attribute scall numeric
@attribute sread numeric
@attribute swrite numeric
@attribute fork numeric
@attribute exec numeric
@attribute rchar numeric
@attribute wchar numeric
@attribute pgout numeric
@attribute ppgout numeric
@attribute pgfree numeric
@attribute pgscan numeric
@attribute atch numeric
@attribute pgin numeric
@attribute ppgin numeric
@attribute pflt numeric
@attribute vflt numeric
@attribute runqsz numeric
@attribute freemem numeric
@attribute freeswap numeric
@attribute usr numeric

@data
22, 13, 2209, 132, 56, 8.18, 20.56, 152594, 18607, 0.00, 0.00, 0.00, 0.00, 0.00, 6.99, 8.78, 355.49, 566.87, 1.0, 744, 1098283, 76
15, 11, 1243, 154, 50, 4.00, 4.00, 947897, 21624, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 172.60, 286.20, 2.0, 3132, 1845621, 88
2, 0, 1734, 89, 61, 1.20, 2.80, 39725, 23738, 0.00, 0.00, 0.00, 0.00, 0.00, 7.60, 8.60, 81.20, 138.40, 1.0, 1452, 1085187, 89
16, 8, 3665, 293, 271, 6.41, 4.81, 190369, 174297, 0.00, 0.00, 0.00, 0.00, 0.20, 12.42, 13.23, 410.42, 565.73, 1.0, 725, 988733, 75
3, 1, 2428, 149, 108, 0.40, 0.40, 20081, 174651, 4.80, 5.20, 5.20, 0.00, 0.60, 1.60, 1.60, 32.80, 58.20, 2.4, 237, 1519549, 94
1, 0, 223, 13, 21, 0.20, 0.20, 5489, 70655, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.20, 22.20, 18.80, 1.0, 7369, 1862755, 98
4, 2, 2065, 171, 133, 1.60, 1.40, 47486, 64173, 0.00, 0.00, 0.00, 0.00, 0.60, 2.00, 2.20, 103.60, 131.20, 2.5, 531, 1059970, 89
34, 13, 5633, 306, 187, 2.60, 8.00, 507057, 151253, 2.40, 2.80, 2.80, 0.00, 1.80, 4.40, 6.40, 172.60, 376.60, 5.4, 414, 1314480, 74
7, 2, 2570, 277, 119, 2.58, 4.37, 250167, 21618, 8.55, 60.24, 134.39, 419.88, 0.40, 96.02, 96.62, 152.09, 460.83, 1.3, 118, 1123723, 82
5, 2, 1065, 82, 32, 1.20, 7.40, 313886, 8359, 0.00, 0.00, 0.00, 0.00, 0.00, 5.00, 5.20, 84.60, 109.00, 2.0, 3223, 1741526, 92
9, 2, 1831, 158, 119, 0.60, 0.80, 104249, 56308, 0.00, 0.00, 0.00, 0.00, 0.00, 4.40, 5.20, 83.40, 162.00, 5.8, 480, 1521358, 90
52, 0, 4682, 357, 222, 12.60, 34.40, 290329, 134230, 12.80, 58.60, 138.60, 330.80, 0.60, 56.60, 67.00, 504.20, 943.00, 3.0, 134, 1098146, 51
177, 197, 2319, 186, 134, 0.60, 0.80, 367421, 41690, 0.00, 0.00, 0.00, 0.00, 0.00, 1.80, 2.60, 49.40, 76.40, 1.2, 533, 1094643, 88
36, 48, 1667, 95, 78, 0.40, 0.40, 18151, 24364, 0.00, 0.00, 0.00, 0.00, 0.00, 3.19, 4.59, 34.53, 39.92, 550, 91, 9, 0
5, 2, 2073, 73, 62, 0.20, 0.20, 9212, 28959, 0.80, 0.80, 0.80, 0.00, 0.40, 2.20, 2.20, 16.60, 51.40, 2.0, 278, 1014352, 95
1, 0, 678, 94, 86, 0.20, 0.20, 16341, 28843, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.20, 15.80, 22.20, 1.3, 394, 1091904, 97
15, 9, 4803, 327, 309, 1.40, 2.99, 168100, 559019, 1.40, 2.59, 2.40, 0.00, 1.20, 17.76, 23.35, 94.01, 304.79, 1.5, 534, 992567, 76
6, 2, 1705, 154, 172, 0.20, 0.20, 159052, 60606, 0.00, 0.00, 0.00, 0.00, 0.00, 1.40, 2.20, 21.00, 41.00, 5.0, 2027, 1367739, 96
24, 32, 366, 25, 37, 0.20, 0.20, 7746, 113906, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.20, 17.40, 1.2, 5685, 1840018, 96
2, 1, 452, 116, 58, 0.40, 0.40, 255513, 172909, 0.00, 0.00, 0.00, 0.00, 0.00, 2.20, 2.80, 36.20, 42.20, 2.8, 4047, 1827405, 91
39, 0, 5830, 921, 784, 3.60, 1.80, 417541, 127394, 3.40, 23.40, 82.20, 150.00, 0.80, 32.00, 44.20, 159.80, 421.20, 3.2, 147, 1046022, 69
14, 1, 1212, 86, 67, 4.60, 3.40, 191330, 105806, 0.00, 0.00, 0.00, 0.00, 0.00, 7.80, 8.20, 195.60, 335.60, 4.2, 1253, 1544406, 89
12, 1, 2466, 193, 189, 3.19, 2.00, 105786, 83337, 0.00, 0.00, 0.00, 0.00, 0.00, 2.40, 3.19, 173.85, 243.11, 440, 87, 13, 0
2, 1, 2648, 199, 159, 1.60, 2.00, 115891, 220023, 0.00, 0.00, 0.00, 0.00, 0.40, 10.00, 14.80, 131.60, 248.60, 3.4, 498, 1016256, 83
31, 0, 1033, 174, 73, 0.80, 0.80, 506006, 16902, 0.00, 0.00, 0.00, 0.00, 0.00, 12.00, 71.40, 63.60, 176.40, 3.8, 389, 1718456, 90
29, 6, 7029, 678, 599, 7.78, 3.59, 528984, 237007, 9.18, 48.10, 137.33, 286.23, 2.99, 52.30, 79.04, 453.89, 662.67, 9.0, 190, 1538338, 53
6, 1, 2257, 87, 74, 0.80, 4.40, 132983, 35334, 2.60, 4.60, 4.00, 0.00, 1.40, 7.20, 24.00, 33.00, 82.00, 2.0, 168, 1024461, 93
29, 11, 984, 106, 79, 5.20, 3.20, 132091, 47371, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 4.40, 217.60, 419.80, 4.8, 6101, 1707683, 87
3, 1, 1044, 32, 44, 1.20, 2.60, 54971, 146349, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 93.00, 118.00, 1.4, 6888, 1852709, 93
5, 4, 796, 58, 51, 0.20, 0.20, 16130, 37792, 4.01, 6.41, 5.61, 0.00, 1.00, 1.80, 1.80, 19.24, 59.52, 2.0, 234, 1011745, 95
21, 33, 744, 77, 22, 0.20, 0.20, 254058, 8938, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.40, 15.60, 17.40, 1.6, 1836, 1752528, 96
2, 0, 1260, 88, 63, 1.00, 1.20, 46147, 33738, 4.80, 6.00, 6.00, 0.60, 1.20, 10.00, 10.40, 85.60, 176.20, 1.0, 171, 1022195, 93
13, 4, 5183, 200, 150, 1.60, 2.20, 237284, 93098, 0.00, 0.00, 0.00, 0.00, 0.00, 20.40, 28.00, 154.60, 312.40, 6.8, 956, 1306851, 76
753, 22, 2350, 146, 111, 2.00, 0.60, 259768, 129649, 0.00, 0.00, 0.00, 0.00, 0.00, 25.00, 25.00, 97.60, 136.20, 2.2, 4728, 1845357, 74
65, 77, 2089, 183, 143, 0.80, 1.40, 143046, 144665, 0.00, 0.00, 0.00, 0.00, 0.00, 1.40, 2.60, 68.00, 142.80, 3.4, 791, 1631507, 86
1, 0, 1011, 56, 56, 0.60, 1.00, 15493, 18387, 0.00, 0.00, 0.00, 0.00, 0.00, 19.00, 19.00, 49.60, 139.00, 2.8, 739, 1089934, 93
12, 1, 3039, 191, 121, 7.40, 23.80, 158848, 24306, 1.00, 1.00, 1.00, 0.00, 0.60, 4.00, 4.00, 269.60, 495.00, 1.8, 287, 1085333, 74
6, 1, 2298, 140, 82, 0.80, 2.20, 345233, 10552, 21.80, 183.80, 342.20, 497.40, 0.60, 36.40, 51.00, 53.60, 571.60, 6.8, 150, 1314242, 81
3, 2, 2490, 325, 227, 0.60, 2.20, 211769, 308763, 0.00, 0.00, 0.00, 0.00, 2.40, 11.00, 12.60, 54.40, 146.20, 2.2, 410, 1381683, 89
6, 4, 1258, 109, 90, 0.20, 0.20, 89056, 23533, 0.00, 0.00, 0.00, 0.00, 0.00, 1.40, 11.80, 16.60, 23.80, 1.7, 1785, 1092926, 94
2, 1, 214, 10, 14, 0.20, 0.20, 9873, 44773, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.57, 16.77, 1.0, 7731, 1866403, 98
68, 55, 1596, 181, 170, 2.20, 1.00, 56289, 51077, 19.84, 44.49, 96.39, 190.18, 0.40, 26.45, 51.30, 113.23, 228.46, 1.5, 160, 951163, 87
14, 9, 4058, 263, 227, 7.01, 4.41, 173227, 92769, 2.20, 3.61, 23.85, 43.29, 1.00, 4.01, 4.41, 311.82, 482.57, 2.0, 293, 1123827, 75
1, 0, 1634, 151, 66, 0.20, 0.20, 212436, 200402, 0.00, 0.00, 0.00, 0.00, 0.00, 11.20, 11.20, 20.00, 47.80, 4.8, 2524, 1604440, 94
7, 1, 4504, 303, 255, 1.20, 1.80, 164442, 165346, 19.40, 42.60, 57.80, 54.40, 0.20, 9.60, 17.80, 132.20, 136.00, 1.4, 150, 1000069, 80
10, 3, 417, 23, 40, 0.40, 0.40, 26568, 27852, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32.00, 38.60, 1.0, 6217, 1856637, 98
0, 0, 1774, 100, 66, 0.40, 1.80, 109071, 26956, 10.00, 17.20, 24.80, 47.20, 2.60, 1.20, 1.20, 33.00, 58.60, 1.0, 176, 1009816, 91
80, 48, 2115, 100, 118, 1.20, 1.60, 59217, 109468, 4.20, 16.00, 33.80, 38.80, 1.40, 6.60, 12.40, 184.20, 103.60, 4.8, 131, 1597446, 89
5, 2, 2929, 387, 204, 2.60, 2.60, 288065, 215294, 14.40, 29.60, 26.40, 11.00, 3.60, 2.20, 2.60, 142.00, 249.20, 2.0, 315, 1130874, 81
3, 1, 3629, 244, 127, 0.40, 0.40, 863112, 81425, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.60, 53.80, 38.00, 3.6, 1376, 1542600, 91
1, 1, 212, 18, 28, 0.20, 0.20, 7031, 19891, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 16.80, 1.0, 7364, 1867155, 98
30, 43, 3816, 139, 157, 0.60, 3.20, 47471, 329880, 0.20, 0.20, 0.20, 0.00, 0.20, 12.00, 12.60, 24.60, 70.40, 2.4, 2097, 993981, 87
5, 1, 4402, 697, 228, 2.60, 5.20, 336839, 31786, 1.60, 1.60, 1.60, 0.00, 1.00, 20.80, 33.20, 143.00, 291.60, 1.3, 275, 1135856, 81
7, 0, 3851, 377, 302, 5.96, 2.19, 189893, 18213, 0.00, 0.00, 0.00, 0.00, 0.00, 0.99, 1.99, 273.76, 457.06, 1.0, 1970, 1070584, 77
26, 27, 2912, 454, 369, 7.40, 2.00, 206378, 14665, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 365.80, 525.00, 3.0, 11640, 1881640, 80
3, 1, 2193, 97, 80, 0.40, 0.40, 6145, 51522, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34.00, 34.40, 2.0, 3257, 1657443, 96
30, 6, 5661, 339, 186, 5.19, 10.98, 275673, 49066, 5.59, 14.17, 50.30, 99.00, 4.19, 7.78, 8.98, 318.76, 497.01, 4.0, 144, 1456497, 73
1, 0, 2832, 131, 92, 0.20, 0.20, 9102, 53734, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.40, 15.60, 23.60, 2.0, 506, 1629285, 95
4, 4, 2015, 67, 68, 0.40, 0.40, 5027, 16398, 0.40, 0.40, 0.40, 0.00, 0.60, 4.20, 4.20, 32.40, 44.60, 2.4, 224, 1017845, 95
3, 2, 1872, 114, 94, 0.20, 0.20, 93509, 29910, 0.00, 0.00, 0.00, 0.00, 0.00, 1.40, 1.80, 57.31, 27.05, 1.0, 874, 1054637, 95
7, 1, 2544, 135, 126, 1.20, 2.40, 69693, 23159, 0.00, 0.00, 0.00, 0.00, 0.00, 2.60, 2.80, 87.00, 143.00, 4.0, 2892, 1375262, 91
14, 12, 6140, 319, 203, 0.80, 0.80, 151498, 233048, 0.00, 0.00, 0.00, 0.00, 0.00, 4.20, 5.00, 58.80, 101.80, 3.8, 841, 999741, 81
22, 13, 3581, 211, 134, 1.00, 1.20, 312204, 31194, 0.00, 0.00, 0.00, 0.00, 1.20, 4.40, 5.40, 90.60, 164.80, 4.2, 871, 1529306, 90
1, 0, 1704, 82, 159, 0.20, 0.20, 59686, 170281, 0.00, 0.00, 0.00, 0.00, 0.00, 5.19, 7.19, 12.77, 17.56, 1.4, 7735, 1867811, 94
42, 58, 2302, 145, 125, 0.40, 0.60, 10686, 50059, 0.00, 0.00, 0.00, 0.00, 0.00, 10.22, 10.42, 32.26, 92.38, 3.8, 336, 1064146, 90
5, 0, 2392, 234, 182, 1.40, 1.60, 352015, 308529, 18.76, 65.67, 132.14, 256.09, 0.00, 31.54, 61.28, 69.66, 113.77, 2.0, 123, 1057613, 85
277, 296, 3809, 566, 472, 7.40, 6.40, 459817, 349319, 16.40, 39.60, 93.80, 149.40, 4.60, 52.60, 81.20, 350.80, 784.20, 4.8, 207, 1039954, 56
1, 1, 484, 53, 27, 0.40, 0.40, 133297, 20706, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 3.80, 31.00, 43.00, 1.0, 8767, 1835240, 97
17, 23, 225, 13, 13, 0.40, 1.60, 17132, 12514, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 19.80, 23.80, 1.2, 4179, 1821682, 94
4, 2, 1604, 179, 73, 1.80, 2.00, 51542, 16999, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 3.80, 118.20, 151.00, 2.3, 693, 1069450, 90
1, 0, 310, 43, 22, 0.80, 1.00, 242869, 14502, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.60, 66.60, 1.2, 7202, 1874066, 95
76, 71, 3089, 185, 139, 0.20, 0.20, 67708, 59295, 3.40, 15.40, 60.60, 77.00, 0.00, 16.80, 28.40, 17.40, 59.20, 2.0, 126, 1065362, 84
17, 0, 4962, 546, 485, 8.20, 2.20, 229511, 27746, 0.00, 0.00, 0.00, 0.00, 0.20, 3.40, 3.60, 384.80, 589.40, 1.5, 232, 1069243, 74
2, 1, 1338, 82, 48, 0.20, 0.20, 197875, 12946, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 1.20, 23.60, 24.00, 1.0, 5579, 1832957, 96
8, 0, 3934, 407, 137, 7.60, 8.20, 129213, 18723, 2.00, 4.40, 21.60, 37.60, 0.40, 4.40, 4.80, 331.80, 818.80, 1.3, 181, 1035285, 65
12, 11, 3773, 229, 154, 0.20, 0.20, 161126, 35443, 2.59, 3.99, 3.99, 0.00, 0.20, 5.19, 7.98, 116.97, 199.40, 2.0, 257, 998285, 88
35, 1, 672, 62, 57, 0.20, 0.20, 1791, 8352, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.40, 20.40, 18.60, 2.2, 4046, 1710048, 97
3, 2, 1997, 239, 91, 1.00, 1.20, 998097, 93669, 0.00, 0.00, 0.00, 0.00, 0.00, 2.60, 3.40, 88.00, 120.80, 2.8, 2730, 1089893, 86
23, 13, 1379, 99, 90, 0.40, 0.40, 41732, 84195, 3.00, 7.00, 7.00, 0.00, 1.20, 3.60, 4.20, 33.80, 46.20, 2.4, 213, 1719302, 96
1, 1, 178, 12, 13, 0.20, 0.20, 7021, 5203, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 16.80, 1.0, 7382, 1865536, 98
1, 0, 749, 81, 138, 0.60, 0.60, 289878, 27455, 0.00, 0.00, 0.00, 0.00, 0.00, 18.60, 18.60, 50.40, 106.80, 3.2, 1084, 1716637, 95
5, 1, 1596, 182, 107, 0.20, 0.20, 818686, 79474, 9.58, 36.13, 55.49, 73.45, 1.60, 88.82, 154.69, 16.97, 97.60, 4.4, 303, 1328899, 81
1, 1, 1342, 153, 79, 0.20, 0.20, 75258, 19540, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.80, 39.00, 62.80, 2.2, 422, 988357, 93
47, 44, 1484, 77, 71, 0.60, 0.60, 26243, 27853, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.40, 39.60, 47.20, 3.0, 10789, 1382502, 95
26, 34, 3007, 113, 190, 0.20, 0.20, 12781, 31510, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.20, 15.57, 16.77, 2.2, 224, 1705333, 93
7, 7, 3572, 241, 189, 0.80, 2.20, 448266, 258824, 0.00, 0.00, 0.00, 0.00, 0.20, 33.60, 33.60, 33.60, 94.00, 6.2, 2044, 1640795, 83
1, 0, 1411, 314, 145, 0.20, 0.20, 6590, 26933, 0.40, 0.40, 0.40, 0.00, 0.20, 0.20, 0.20, 15.40, 23.20, 2.0, 135, 1057440, 92
3, 0, 437, 38, 29, 2.00, 2.00, 59422, 19164, 6.20, 6.20, 6.20, 0.00, 0.00, 1.60, 1.60, 167.00, 151.40, 3.0, 152, 1783864, 84
10, 8, 1697, 159, 124, 0.20, 0.20, 367223, 88343, 0.00, 0.00, 0.00, 0.00, 0.00, 3.60, 4.20, 20.20, 19.20, 3.4, 4712, 1671243, 92
5, 0, 594, 107, 67, 2.00, 2.00, 46657, 16271, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 76.60, 132.20, 2.0, 1263, 1767294, 88
62, 77, 2892, 164, 100, 3.40, 5.00, 158542, 45853, 5.80, 7.40, 7.40, 0.00, 2.40, 11.20, 12.20, 193.60, 461.40, 3.5, 258, 1019354, 80
13, 3, 2120, 277, 214, 0.80, 2.20, 62230, 30983, 0.00, 0.00, 0.00, 0.00, 0.00, 1.20, 1.20, 43.60, 82.20, 2.2, 3105, 1737642, 89
6, 3, 320, 21, 77, 0.60, 1.00, 23609, 116219, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 41.00, 53.00, 2.0, 6521, 1705557, 97
1, 0, 1272, 132, 96, 0.60, 1.20, 264635, 27883, 0.00, 0.00, 0.00, 0.00, 0.00, 3.80, 6.80, 33.40, 83.00, 1.0, 1200, 1131838, 91
0, 0, 887, 115, 51, 0.20, 0.20, 132347, 125126, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 17.60, 3.6, 1369, 1755973, 96
64, 84, 6784, 279, 244, 2.20, 2.00, 360337, 273583, 19.36, 45.51, 73.65, 97.41, 2.00, 18.56, 28.74, 125.55, 230.94, 2.0, 139, 1002892, 75
3, 1, 3745, 155, 180, 0.20, 0.20, 17499, 102233, 0.00, 0.00, 0.00, 0.00, 0.00, 8.40, 8.60, 18.00, 63.60, 1.0, 684, 1061171, 91
5, 1, 928, 136, 42, 1.60, 2.00, 339827, 25101, 0.00, 0.00, 0.00, 0.00, 0.00, 6.80, 7.40, 116.60, 166.80, 1.6, 7607, 1879741, 93
2, 2, 2264, 131, 104, 0.20, 0.20, 5816, 20602, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17.40, 17.80, 2.2, 3116, 1707682, 95
5, 2, 4617, 460, 217, 1.20, 1.20, 122675, 148030, 0.00, 0.00, 0.00, 0.00, 0.00, 6.99, 7.39, 78.44, 164.87, 3.0, 1894, 1001723, 84
6, 3, 2514, 161, 140, 1.80, 3.00, 216786, 186596, 0.00, 0.00, 0.00, 0.00, 0.00, 1.20, 1.40, 123.60, 225.00, 4.8, 1565, 1615507, 88
10, 6, 3269, 216, 143, 2.60, 7.00, 60686, 42719, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.40, 208.80, 242.00, 2.4, 647, 1536179, 81
94, 57, 2937, 259, 214, 4.00, 6.20, 180958, 92968, 0.00, 0.00, 0.00, 0.00, 0.60, 2.40, 2.40, 217.00, 362.40, 2.4, 541, 1318082, 82
3, 0, 1036, 117, 28, 2.00, 2.80, 231364, 17195, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.60, 151.00, 202.80, 1.4, 1001, 1762766, 89
89, 53, 2558, 211, 189, 0.60, 1.00, 215246, 121020, 0.00, 0.00, 0.00, 0.00, 0.20, 13.97, 17.37, 236.93, 171.06, 990, 84, 16, 0
2, 1, 785, 48, 44, 0.40, 1.40, 39338, 13540, 2.60, 5.20, 5.20, 0.00, 0.60, 0.00, 0.00, 53.80, 82.00, 2.0, 279, 992654, 96
6, 4, 3096, 226, 119, 0.80, 1.40, 300310, 78270, 5.80, 12.20, 28.40, 37.80, 1.60, 0.60, 0.60, 77.40, 188.80, 6.6, 143, 1585784, 91
13, 6, 3069, 173, 94, 1.40, 1.60, 131542, 105250, 0.00, 0.00, 0.00, 0.00, 0.00, 3.40, 5.40, 141.60, 125.40, 4.4, 2549, 1576858, 89
45, 53, 623, 24, 51, 1.80, 1.80, 41854, 212631, 0.00, 0.00, 0.00, 0.00, 0.00, 1.60, 2.40, 122.80, 212.40, 2.0, 5071, 1841507, 88
72, 47, 3260, 327, 161, 9.60, 8.60, 182659, 86331, 12.40, 40.20, 81.20, 212.20, 2.80, 8.60, 24.00, 437.60, 792.60, 1.0, 153, 1062189, 70
3, 0, 1008, 72, 58, 2.20, 3.59, 53647, 14442, 2.20, 6.99, 10.58, 17.17, 0.20, 0.00, 0.00, 162.67, 198.40, 2.2, 211, 997396, 94
10, 1, 3917, 490, 883, 8.38, 3.59, 286623, 132176, 7.78, 7.78, 7.78, 0.00, 0.20, 0.80, 0.80, 464.27, 611.98, 2.0, 245, 1802988, 65
55, 75, 3010, 337, 149, 3.60, 4.00, 226170, 131109, 11.20, 45.20, 131.00, 269.20, 0.60, 14.80, 26.80, 202.20, 378.80, 2.0, 152, 1073067, 81
32, 46, 2016, 153, 132, 0.60, 1.60, 23334, 18460, 5.41, 5.61, 5.61, 0.00, 3.81, 14.23, 14.23, 35.67, 88.98, 1.0, 272, 1026328, 93
19, 28, 488, 138, 34, 0.20, 0.20, 178356, 159984, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.51, 12.92, 2.2, 5481, 1817940, 98
0, 0, 190, 19, 28, 0.20, 0.20, 450, 11459, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.63, 16.83, 1.6, 7368, 1869294, 98
0, 0, 2635, 141, 156, 0.20, 0.20, 5803, 19417, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.57, 16.77, 2.0, 280, 1705852, 95
16, 11, 1869, 177, 115, 1.60, 3.20, 33870, 57258, 22.20, 41.00, 95.60, 125.00, 16.00, 34.20, 43.40, 134.20, 273.60, 1.5, 139, 988286, 86
1, 1, 189, 10, 13, 0.20, 0.20, 7004, 7560, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 16.80, 1.0, 7650, 1869904, 98
12, 16, 413, 19, 11, 0.20, 0.20, 8327, 2462, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.20, 13.00, 16.80, 1.4, 4607, 1828310, 98
20, 14, 2173, 460, 246, 1.40, 2.20, 626503, 563710, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.60, 87.37, 131.66, 745, 91, 9, 0
15, 22, 1561, 85, 87, 0.20, 0.20, 29881, 61900, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.60, 15.60, 17.00, 1.6, 4236, 1780024, 89
1, 0, 502, 47, 53, 0.20, 0.20, 4534, 26789, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, 17.20, 1.5, 379, 1091186, 96
1, 0, 2792, 411, 245, 0.60, 2.00, 182393, 43918, 0.00, 0.00, 0.00, 0.00, 0.40, 1.60, 1.80, 55.80, 137.20, 1.0, 680, 1120920, 83
43, 60, 3084, 261, 155, 1.40, 3.80, 21092, 62289, 3.20, 4.80, 4.80, 0.00, 0.20, 1.00, 1.40, 110.40, 137.80, 2.6, 274, 1537773, 90
6, 2, 1197, 113, 133, 0.60, 0.60, 83006, 85799, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 58.00, 95.20, 2.2, 1044, 1544781, 95
2, 1, 332, 54, 30, 0.20, 0.20, 88639, 6183, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.40, 20.84, 18.84, 1.0, 588, 1736382, 98
2, 0, 2585, 203, 145, 0.60, 0.60, 329604, 126738, 1.00, 1.80, 1.00, 0.00, 0.80, 29.46, 30.46, 49.90, 194.39, 1.0, 451, 1057294, 86
40, 38, 2674, 251, 114, 5.40, 16.20, 458665, 19089, 7.20, 33.20, 111.80, 221.60, 0.00, 48.60, 107.20, 209.60, 408.20, 2.0, 134, 1102896, 72
2, 0, 2959, 372, 250, 1.40, 1.40, 946962, 160148, 9.00, 37.60, 87.60, 228.80, 0.00, 31.40, 49.60, 82.00, 194.80, 1.0, 152, 1034645, 82
29, 39, 239, 32, 24, 0.40, 0.80, 1216, 6747, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 33.53, 33.93, 1.2, 7038, 1848915, 95
7, 6, 3970, 367, 169, 1.40, 3.20, 580469, 69074, 2.40, 3.20, 3.00, 0.00, 1.20, 18.60, 22.00, 69.80, 287.20, 3.4, 415, 1095523, 82
9, 1, 1720, 120, 127, 1.00, 2.79, 295270, 85183, 0.00, 0.00, 0.00, 0.00, 0.20, 5.79, 5.79, 78.24, 169.86, 2.0, 579, 1064374, 91
3, 3, 2070, 176, 118, 0.60, 1.00, 19761, 26919, 0.00, 0.00, 0.00, 0.00, 0.00, 2.79, 2.99, 56.69, 96.21, 2.3, 499, 1119318, 91
1, 0, 843, 83, 56, 0.40, 0.60, 73773, 21665, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.40, 29.20, 150.40, 4.0, 625, 1032739, 96
